video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=CSvFpBOe8eY&pp=ygUEQ0hPUA%3D%3D,/channel/UC7-YMmnc0ppcWmio8t1WdcA,System Of A Down,System Of A Down - Chop Suey! (Official HD Video),1.3B,14 years,Lyrics: I don't think you trust In my self-righteous suicide I cry when angels deserve to die #SystemOfADown #ChopSuey!,2024-01-29 03:29:40.999438
/watch?v=lhU02Bb4kXQ&pp=ygUEQ0hPUA%3D%3D,/channel/UCJGa5XvzGCif-JqbVduCd0w,ZaeHD,ZaeHD - CHOP (Official Music Video),140K,7 months,"CHOP HIS AHH, CHOP!!!   ZAEHD DROP THE OFFICIAL MUSIC VIDEO TO HIS ANTICIPATED SINGLE “CHOP”! DOWNLOAD ...",2024-01-29 03:29:41.009615
/watch?v=2DPiQ_J1lNw&pp=ygUEQ0hPUA%3D%3D,/@BellosKustoms,Bello's Kustoms,1935 Chevy Chop Top Part 4,13K,11 hours,"Watch Mike Bello use the Pull-Max, Yoder Power Hammer and other sheet metal forming tools to create a driver side sail panel for ...",2024-01-29 03:29:41.012022
/watch?v=vdBZw9M3u2s&pp=ygUEQ0hPUA%3D%3D,/@NoughtPointFourLIVE,Nought,Upgrading CHOP'S LIFE in GTA 5! (MOVIE),2.2M,7 months,UPGRADING CHOP'S LIFE in GTA 5! - LIKE & Subscribe! Become an AstroNought: ...,2024-01-29 03:29:41.019309
/watch?v=N_0y72aHxMI&pp=ygUEQ0hPUA%3D%3D,/@KingCrane,King Crane,Did FRANKLIN Kill CHOP In GTA 5?,985K,2 months,Who is responsible for what happened to Chop? Subscribe to King Crane Reacts ▻ https://bit.ly/2Mw4wsd Instagram ...,2024-01-29 03:29:41.025596
/watch?v=NK5ecUC4uTI&pp=ygUEQ0hPUA%3D%3D,/@FrostbiteGaming,Frostbite Gaming,ROBLOX CHOP AND ME HIDING FOR KILLER IN SURVIVE THE KILLER,71K,23 hours,ROBLOX CHOP AND ME HIDING FOR KILLER IN SURVIVE THE KILLER Subscribe to 2nd ...,2024-01-29 03:29:41.028900
/watch?v=-KDnKH0qc5A&pp=ygUEQ0hPUA%3D%3D,/@FrostbiteGaming,Frostbite Gaming,CHOP DRIVING GARBAGE TRUCK INTO A SHREDDER IN TEARDOWN,55K,21 hours,CHOP DRIVING GARBAGE TRUCK INTO A SHREDDER IN TEARDOWN Subscribe to 2nd ...,2024-01-29 03:29:41.035566
/watch?v=xp7dHnZEb38&pp=ygUEQ0hPUA%3D%3D,/@FrostbiteGaming,Frostbite Gaming,ROBLOX CHOP AND FROSTY ESCAPE THE HOUSE TOWER DEFENSE,135K,1 month,ROBLOX CHOP AND FROSTY ESCAPE THE HOUSE TOWER DEFENSE Subscribe to 2nd ...,2024-01-29 03:29:41.041606
/watch?v=ExIed--lFoA&pp=ygUEQ0hPUA%3D%3D,/@NoughtPointFourLIVE,Nought,CHOP'S LIFE in GTA 5! (Movie),3.8M,1 year,CHOP'S MOVIE in GTA 5! - LIKE & Subscribe! Become an AstroNought: ...,2024-01-29 03:29:41.050719
/watch?v=dZ4M7iAVgec&pp=ygUEQ0hPUA%3D%3D,/@GTASeriesVideos,GTA Series Videos,GTA 5 PS5 - Mission #7 - Chop [Gold Medal Guide - 4K 60fps],554K,1 year,"Grand Theft Auto V PS5 & Xbox Series X|S - ""Chop"" Mission 100% Gold Medal in a single playthrough - Walkthrough \ Guide in ...",2024-01-29 03:29:41.053752
